date,open,high,low,close,volume,HAopen,HAclose,HAhigh,HAlow,Rolling Mean,Upper Band,lower Band,HARollingMean,HAUpperBand,HAlowerBand
2023-10-10 09:20:00+05:30,1551.15,1554.0,1551.0,1552.0,86,,1552.04,1554.0,1551.0,,,,,,
2023-10-10 09:25:00+05:30,1552.0,1552.0,1545.75,1548.1,252,1551.58,1549.46,1552.0,1545.75,,,,,,
2023-10-10 09:30:00+05:30,1548.1,1551.0,1543.55,1546.0,476,1550.05,1547.16,1551.0,1543.55,,,,,,
2023-10-10 09:35:00+05:30,1546.0,1547.95,1537.1,1543.1,842,1547.05,1543.54,1547.95,1537.1,,,,,,
2023-10-10 09:40:00+05:30,1540.65,1540.65,1538.0,1538.0,112,1544.55,1539.32,1540.65,1538.0,,,,,,
2023-10-10 09:45:00+05:30,1538.0,1540.0,1538.0,1539.6,685,1539.32,1538.9,1540.0,1538.0,,,,,,
2023-10-10 09:50:00+05:30,1539.6,1539.9,1537.65,1539.4,52,1538.8,1539.14,1539.9,1537.65,,,,,,
2023-10-10 09:55:00+05:30,1539.4,1539.55,1536.35,1536.5,607,1539.5,1537.95,1539.55,1536.35,,,,,,
2023-10-10 10:00:00+05:30,1536.5,1539.0,1536.5,1538.3,313,1537.95,1537.58,1539.0,1536.5,,,,,,
2023-10-10 10:05:00+05:30,1538.3,1544.85,1537.4,1540.5,969,1537.4,1540.26,1544.85,1537.4,1542.15,1552.236404490975,1532.0635955090252,1542.535,1553.0024447693788,1532.0675552306213
2023-10-10 10:10:00+05:30,1539.6,1541.4,1537.1,1537.1,645,1539.4,1538.8,1541.4,1537.1,1540.66,1548.4112436278176,1532.9087563721826,1541.211,1549.4464812313006,1532.9755187686994
2023-10-10 10:15:00+05:30,1537.1,1541.75,1537.1,1541.75,2092,1538.35,1539.42,1541.75,1537.1,1540.025,1545.8744539156332,1534.175546084367,1540.2069999999999,1546.0828870725093,1534.3311129274905
2023-10-10 10:20:00+05:30,1543.75,1544.35,1540.0,1542.0,177,1539.42,1542.52,1544.35,1540.0,1539.625,1544.0263255579055,1535.2236744420945,1539.743,1543.5457130665698,1535.9402869334301
2023-10-10 10:25:00+05:30,1540.55,1542.0,1540.0,1541.85,77,1542.88,1541.1,1542.0,1540.0,1539.5,1543.5169087064012,1535.4830912935988,1539.499,1542.432734063536,1536.5652659364641
2023-10-10 10:30:00+05:30,1541.75,1543.15,1540.0,1543.15,212,1541.2,1542.01,1543.15,1540.0,1540.015,1544.4734626149486,1535.5565373850516,1539.768,1543.0956458144851,1536.440354185515
2023-10-10 10:35:00+05:30,1543.15,1545.5,1541.3,1545.5,258,1542.45,1543.86,1545.5,1541.3,1540.605,1546.2286504553936,1534.9813495446065,1540.264,1544.397636548017,1536.1303634519827
2023-10-10 10:40:00+05:30,1547.0,1547.0,1542.05,1545.8,326,1544.32,1545.46,1547.0,1542.05,1541.2450000000001,1547.6601643262923,1534.829835673708,1540.8960000000002,1546.0679946721632,1535.7240053278372
2023-10-10 10:45:00+05:30,1547.4,1548.3,1546.0,1546.25,45,1546.4,1546.99,1548.3,1546.0,1542.22,1548.38895453055,1536.05104546945,1541.8,1547.7804199035031,1535.8195800964968
2023-10-10 10:50:00+05:30,1546.25,1548.4,1545.75,1545.75,26,1546.82,1546.54,1548.4,1545.75,1542.965,1548.821439950079,1537.108560049921,1542.696,1548.549896707891,1536.8421032921087
2023-10-10 10:55:00+05:30,1545.75,1545.75,1540.7,1540.7,847,1546.0,1543.22,1545.75,1540.7,1542.9850000000001,1548.8052806346996,1537.1647193653007,1542.992,1548.5922999919642,1537.3917000080357
2023-10-10 11:00:00+05:30,1540.7,1542.7,1540.55,1540.65,19,1543.22,1541.15,1542.7,1540.55,1543.34,1547.8506786875382,1538.8293213124616,1543.227,1548.2085396995078,1538.2454603004924
2023-10-10 11:05:00+05:30,1541.45,1542.65,1539.6,1539.6,70,1540.68,1540.83,1542.65,1539.6,1543.125,1548.1483344392823,1538.1016655607177,1543.368,1547.9330342581159,1538.802965741884
2023-10-10 11:10:00+05:30,1539.6,1540.0,1539.6,1540.0,94,1540.52,1539.8,1540.0,1539.6,1542.925,1548.294719628517,1537.555280371483,1543.096,1548.1802082307206,1538.0117917692794
2023-10-10 11:15:00+05:30,1540.0,1546.2,1540.0,1546.2,124,1539.8,1543.1,1546.2,1540.0,1543.3600000000001,1549.0385757212714,1537.6814242787289,1543.2959999999998,1548.184837171443,1538.4071628285567
2023-10-10 11:20:00+05:30,1546.2,1547.45,1543.75,1547.45,86,1543.1,1546.21,1547.45,1543.75,1543.79,1550.0221389229978,1537.5578610770021,1543.716,1548.8302606721027,1538.6017393278971
2023-10-10 11:25:00+05:30,1547.45,1551.0,1546.15,1551.0,127,1546.82,1548.9,1551.0,1546.15,1544.34,1552.040620465621,1536.6393795343788,1544.22,1550.299590629493,1538.140409370507
2023-10-10 11:30:00+05:30,1551.0,1551.0,1546.2,1547.3,487,1549.22,1548.88,1551.0,1546.2,1544.49,1552.373287526293,1536.606712473707,1544.562,1551.3006632370389,1537.823336762961
2023-10-10 11:35:00+05:30,1547.3,1547.85,1545.35,1547.85,30,1549.15,1547.09,1547.85,1545.35,1544.65,1552.7539085220233,1536.546091477977,1544.572,1551.3269540667898,1537.81704593321
2023-10-10 11:40:00+05:30,1547.85,1548.45,1545.5,1548.05,257,1547.57,1547.46,1548.45,1545.5,1544.8799999999999,1553.248884168287,1536.5111158317127,1544.6640000000002,1551.5616337327458,1537.7663662672546
2023-10-10 11:45:00+05:30,1548.05,1548.05,1545.25,1547.4,25,1547.95,1547.19,1548.05,1545.25,1545.55,1553.4935508432932,1537.6064491567067,1545.0610000000001,1552.04569724151,1538.0763027584903
2023-10-10 11:50:00+05:30,1547.4,1547.4,1545.6,1547.4,20,1547.72,1546.95,1547.4,1545.6,1546.225,1553.4309003601202,1539.0190996398796,1545.641,1552.127803355874,1539.1541966441262
2023-10-10 11:55:00+05:30,1547.4,1547.4,1545.8,1547.4,14,1547.4,1547.0,1547.4,1545.8,1547.0049999999999,1552.5120560798528,1541.497943920147,1546.258,1551.818621867701,1540.697378132299
2023-10-10 12:00:00+05:30,1546.5,1547.4,1545.0,1546.6,242,1547.4,1546.38,1547.4,1545.0,1547.665,1550.2448578772178,1545.0851421227821,1546.9160000000002,1550.15126677588,1543.6807332241203
2023-10-10 12:05:00+05:30,1546.6,1548.3,1545.0,1547.85,177,1546.55,1546.94,1548.3,1545.0,1547.8300000000002,1550.195586608006,1545.4644133919944,1547.3,1549.12754236917,1545.47245763083
2023-10-10 12:10:00+05:30,1547.85,1548.75,1545.65,1546.65,36,1547.22,1547.22,1548.75,1545.65,1547.75,1550.224312474648,1545.275687525352,1547.401,1549.0651434233066,1545.7368565766935
2023-10-10 12:15:00+05:30,1546.65,1549.35,1546.65,1549.35,56,1547.25,1548.0,1549.35,1546.65,1547.585,1549.1485074529828,1546.0214925470173,1547.3110000000001,1548.6872896981865,1545.9347103018138
2023-10-10 12:20:00+05:30,1549.35,1549.85,1546.05,1548.65,355,1548.0,1548.48,1549.85,1546.05,1547.72,1549.402722661502,1546.0372773384981,1547.2710000000002,1548.4543455398436,1546.0876544601567
2023-10-10 12:25:00+05:30,1548.65,1549.1,1546.65,1549.0,434,1549.0,1548.35,1549.1,1546.65,1547.835,1549.7040758262897,1545.9659241737104,1547.3970000000002,1548.750745421661,1546.0432545783394
2023-10-10 12:30:00+05:30,1549.0,1549.0,1545.15,1548.05,40,1548.82,1547.8,1549.0,1545.15,1547.835,1549.7040758262897,1545.9659241737104,1547.431,1548.8086453341364,1546.0533546658637
2023-10-10 12:35:00+05:30,1548.05,1548.15,1545.9,1545.9,168,1548.52,1547.0,1548.15,1545.9,1547.685,1549.9151220693989,1545.454877930601,1547.4119999999998,1548.8095152553333,1546.0144847446663
2023-10-10 12:40:00+05:30,1545.9,1549.0,1545.9,1549.0,21,1546.98,1547.45,1549.0,1545.9,1547.845,1550.2097644937894,1545.4802355062106,1547.462,1548.8213070129873,1546.1026929870127
2023-10-10 12:45:00+05:30,1549.0,1549.0,1545.95,1547.9,97,1547.45,1547.96,1549.0,1545.95,1547.895,1550.2389994311663,1545.5510005688336,1547.558,1548.9078576056593,1546.2081423943407
2023-10-10 12:50:00+05:30,1547.9,1547.95,1546.0,1547.95,26,1548.45,1547.45,1547.95,1546.0,1548.03,1550.190864024715,1545.869135975285,1547.665,1548.7418782041939,1546.588121795806
2023-10-10 12:55:00+05:30,1546.35,1547.9,1545.0,1546.8,248,1547.93,1546.51,1547.9,1545.0,1547.925,1550.2224623682027,1545.6275376317972,1547.622,1548.8511207336055,1546.3928792663946
2023-10-10 13:00:00+05:30,1546.8,1547.95,1545.95,1547.45,343,1546.57,1547.04,1547.95,1545.95,1548.0049999999999,1550.1562012148195,1545.8537987851803,1547.6039999999998,1548.8641657739277,1546.343834226072
2023-10-10 13:05:00+05:30,1547.45,1548.0,1545.9,1547.9,27,1547.12,1547.31,1548.0,1545.9,1547.8600000000001,1549.7926435551046,1545.9273564448956,1547.5349999999999,1548.7741843195338,1546.295815680466
2023-10-10 13:10:00+05:30,1547.9,1548.0,1546.3,1547.6,133,1547.68,1547.45,1548.0,1546.3,1547.7549999999999,1549.6093941807915,1545.9006058192083,1547.432,1548.478297174697,1546.385702825303
2023-10-10 13:15:00+05:30,1547.6,1547.9,1546.15,1547.9,11,1547.75,1547.39,1547.9,1546.15,1547.645,1549.2898235298721,1546.0001764701278,1547.336,1548.1606319044147,1546.5113680955853
2023-10-10 13:20:00+05:30,1547.9,1547.95,1546.65,1547.95,18,1547.75,1547.61,1547.95,1546.65,1547.635,1549.2700671070086,1545.9999328929914,1547.317,1548.1019161314014,1546.5320838685986
2023-10-10 13:25:00+05:30,1547.95,1548.0,1545.0,1547.9,232,1547.93,1547.21,1548.0,1545.0,1547.8350000000003,1548.925412765872,1546.7445872341286,1547.3380000000002,1548.0959973614738,1546.5800026385266
2023-10-10 13:30:00+05:30,1547.9,1547.95,1546.4,1547.0,23,1547.93,1547.31,1547.95,1546.4,1547.6350000000002,1548.482283240048,1546.7877167599524,1547.324,1548.0779643375008,1546.5700356624993
2023-10-10 13:35:00+05:30,1545.85,1547.0,1545.8,1547.0,33,1547.45,1546.41,1547.0,1545.8,1547.545,1548.4559823757168,1546.6340176242834,1547.169,1547.977205144475,1546.3607948555252
2023-10-10 13:40:00+05:30,1547.0,1547.0,1545.3,1545.8,41,1546.42,1546.28,1547.0,1545.3,1547.3300000000002,1548.7101771222813,1545.949822877719,1547.0520000000001,1548.0051608235526,1546.0988391764477
2023-10-10 13:45:00+05:30,1545.8,1546.9,1545.0,1546.0,141,1546.4,1545.92,1546.9,1545.0,1547.25,1548.8430404193734,1545.6569595806266,1546.993,1548.1471249691622,1545.8388750308377
2023-10-10 13:50:00+05:30,1545.05,1546.0,1544.95,1546.0,126,1545.9,1545.5,1546.0,1544.95,1547.105,1548.8716352198405,1545.3383647801595,1546.8390000000002,1548.3277265251436,1545.3502734748567
2023-10-10 13:55:00+05:30,1546.0,1546.0,1545.15,1546.0,22,1545.52,1545.79,1546.0,1545.15,1546.915,1548.710085884663,1545.119914115337,1546.6870000000001,1548.269432726321,1545.1045672736793
2023-10-10 14:00:00+05:30,1546.0,1546.0,1545.3,1546.0,80,1546.0,1545.82,1546.0,1545.3,1546.755,1548.5638977613717,1544.9461022386286,1546.524,1548.0928693735004,1544.9551306264993
2023-10-10 14:05:00+05:30,1546.0,1546.0,1545.0,1546.0,100,1546.0,1545.75,1546.0,1545.0,1546.565,1548.2330327734549,1544.8969672265453,1546.36,1547.8682292781775,1544.8517707218223
2023-10-10 14:10:00+05:30,1546.0,1547.0,1545.5,1546.95,113,1546.0,1546.36,1547.0,1545.5,1546.4650000000001,1547.8618615615762,1545.068138438424,1546.2350000000001,1547.464173163823,1545.0058268361772
2023-10-10 14:15:00+05:30,1546.95,1547.0,1545.75,1547.0,34,1546.48,1546.68,1547.0,1545.75,1546.375,1547.4367072205696,1545.3132927794304,1546.182,1547.2608388820065,1545.1031611179935
2023-10-10 14:20:00+05:30,1547.0,1547.0,1546.0,1546.95,45,1546.98,1546.74,1547.0,1546.0,1546.37,1547.4190207073416,1545.3209792926582,1546.125,1546.974901955127,1545.275098044873
2023-10-10 14:25:00+05:30,1546.95,1546.95,1546.0,1546.95,48,1546.98,1546.71,1546.95,1546.0,1546.3650000000002,1547.401071640589,1545.3289283594115,1546.155,1547.0684184875122,1545.2415815124878
2023-10-10 14:30:00+05:30,1546.95,1550.0,1546.25,1550.0,676,1546.95,1548.3,1550.0,1546.25,1546.785,1549.2385914719234,1544.3314085280767,1546.357,1547.997407808374,1544.716592191626
2023-10-10 14:35:00+05:30,1550.0,1550.0,1548.55,1549.75,44,1548.48,1549.58,1550.0,1548.55,1547.16,1550.1647370008748,1544.1552629991254,1546.723,1549.2973875215494,1544.1486124784506
